n,m,density,k2tree_time,k2tree_compression,huffman_time,huffman_compression
600,2975,0.01655537006121313,1.9259674549102783,0.3052472222222222,0.08203315734863281,0.18132222222222222
600,5900,0.032832498608792435,2.702968120574951,0.5075583333333333,0.08100032806396484,0.2387027777777778
600,11600,0.06455203116304953,3.7236547470092773,0.8192472222222222,0.08202910423278809,0.3466388888888889
600,22400,0.1246521981079577,5.258012056350708,1.2763583333333333,0.08296751976013184,0.5293638888888889
600,32400,0.18030050083472454,7.0669989585876465,1.635425,0.08499979972839355,0.6624111111111111
600,41600,0.23149693934335003,7.6100733280181885,1.896625,0.08597588539123535,0.7520222222222223
600,50000,0.27824151363383415,7.457996606826782,2.101425,0.12000107765197754,0.8206694444444445
600,67500,0.3756260434056761,10.575998306274414,2.403913888888889,0.08699965476989746,0.902575
600,80000,0.44518642181413465,9.640998840332031,2.4725361111111113,0.08499932289123535,0.9063805555555555
600,90000,0.5008347245409015,8.098902702331543,2.2545805555555556,0.0839991569519043,0.7599194444444445
600,80000,0.44518642181413465,6.379000663757324,1.7127138888888889,0.0839998722076416,0.5237444444444445
600,50000,0.27824151363383415,4.028001308441162,0.9635583333333333,0.08299922943115234,0.28245
600,27500,0.1530328324986088,1.957000970840454,0.4952472222222222,0.08299922943115234,0.1901027777777778
800,3975,0.012437421777221527,1.7750000953674316,0.2412765625,0.14303255081176758,0.166903125
800,7900,0.02471839799749687,3.8619658946990967,0.3950515625,0.14499950408935547,0.2099515625
800,15600,0.04881101376720901,4.813000440597534,0.6250765625,0.14299964904785156,0.2942953125
800,30400,0.0951188986232791,7.430001974105835,0.9469765625,0.14299964904785156,0.443671875
800,44400,0.13892365456821026,7.329999685287476,1.1665765625,0.14699912071228027,0.570121875
800,57600,0.1802252816020025,8.901000499725342,1.3162515625,0.1489713191986084,0.6616375
800,70000,0.2190237797246558,10.671873331069946,1.4214015625,0.14899969100952148,0.731828125
800,97500,0.3050688360450563,9.669000625610352,1.5517765625,0.14899897575378418,0.84970625
800,120000,0.37546933667083854,10.87399959564209,1.5789265625,0.15200042724609375,0.9027375
800,150000,0.4693366708385482,9.462000131607056,1.4931265625,0.14999771118164062,0.88253125
800,160000,0.5006257822277848,8.371001243591309,1.3160015625,0.1470026969909668,0.7536328125
800,150000,0.4693366708385482,7.979998588562012,1.0752765625,0.14500093460083008,0.58975
800,137500,0.4302252816020025,6.372999429702759,0.9332015625,0.14496731758117676,0.4927015625
800,120000,0.37546933667083854,4.618603944778442,0.7772515625,0.14300131797790527,0.3928921875
800,70000,0.2190237797246558,3.4919989109039307,0.4244515625,0.14300036430358887,0.2260046875
800,37500,0.11733416770963705,1.155000925064087,0.2275765625,0.14200592041015625,0.169521875
1000,4975,0.00995995995995996,2.1429603099823,0.140593,0.21799898147583008,0.158216
1000,9900,0.01981981981981982,3.2559685707092285,0.223281,0.22096824645996094,0.192806
1000,19600,0.03923923923923924,4.960999965667725,0.349601,0.2200326919555664,0.261171
1000,38400,0.07687687687687687,6.236968040466309,0.536593,0.2219996452331543,0.386582
1000,56400,0.11291291291291292,7.525039434432983,0.671281,0.22499918937683105,0.496937
1000,73600,0.14734734734734733,8.57303500175476,0.770945,0.22699809074401855,0.59169
1000,90000,0.18018018018018017,9.361964225769043,0.840865,0.2279677391052246,0.661432
1000,127500,0.2552552552552553,9.249006271362305,0.952097,0.22803330421447754,0.789053
1000,160000,0.3203203203203203,11.922032594680786,1.002017,0.23399949073791504,0.865683
1000,210000,0.42042042042042044,10.018033027648926,0.996721,0.22799921035766602,0.913323
1000,240000,0.4804804804804805,9.383968114852905,0.931745,0.23196840286254883,0.862872
1000,250000,0.5005005005005005,8.397037267684937,0.842001,0.22496986389160156,0.754908
1000,247500,0.4954954954954955,8.674999713897705,0.780209,0.2250068187713623,0.69092
1000,240000,0.4804804804804805,8.343697309494019,0.715729,0.22499895095825195,0.620241
1000,210000,0.42042042042042044,6.358999967575073,0.573233,0.22303342819213867,0.470439
1000,187500,0.37537537537537535,4.6429994106292725,0.497441,0.22299742698669434,0.394725
1000,160000,0.3203203203203203,4.493000268936157,0.404081,0.22499942779541016,0.315487
1000,90000,0.18018018018018017,2.8800318241119385,0.211761,0.2219982147216797,0.197965
1000,47500,0.09509509509509509,1.438995361328125,0.112897,0.22199702262878418,0.158356
